Timestamp,CPU_Porcentaje,RAM_Porcentaje
2026-02-01 11:56:18,0.0,85.1
2026-02-01 11:56:19,15.7,85.3
2026-02-01 11:56:20,29.2,85.6
2026-02-01 11:56:21,30.7,85.9
2026-02-01 11:56:22,29.2,86.1
2026-02-01 11:56:23,22.9,86.4
2026-02-01 11:56:24,34.0,86.7
2026-02-01 11:56:25,21.8,87.3
2026-02-01 11:56:26,62.8,88.3
2026-02-01 11:56:27,25.9,86.2
2026-02-01 11:56:28,4.2,86.0
2026-02-01 11:56:29,17.8,86.3
2026-02-01 11:56:30,14.4,86.2
2026-02-01 11:56:31,19.9,86.5
2026-02-01 11:56:32,17.8,86.3
2026-02-01 11:56:33,9.3,86.3
2026-02-01 11:56:34,9.5,86.3
2026-02-01 11:56:35,18.7,85.6
2026-02-01 11:56:36,11.3,85.5
2026-02-01 11:56:37,25.4,85.6
2026-02-01 11:56:38,12.7,85.5
2026-02-01 11:56:39,8.9,85.5
2026-02-01 11:56:40,2.3,85.5
2026-02-01 11:56:41,5.0,85.6
2026-02-01 11:56:42,39.9,85.8
2026-02-01 11:56:43,12.6,85.8
2026-02-01 11:56:44,10.1,85.8
2026-02-01 11:56:45,3.5,84.0
2026-02-01 11:56:46,8.6,84.3
2026-02-01 11:56:47,20.4,84.9
2026-02-01 11:56:48,29.8,85.3
2026-02-01 11:56:49,27.6,85.4
2026-02-01 11:56:50,14.7,84.9
2026-02-01 11:56:51,55.2,87.1
2026-02-01 11:56:52,57.0,86.9
2026-02-01 11:56:53,37.2,87.3
2026-02-01 11:56:54,59.9,89.1
2026-02-01 11:56:55,16.3,89.7
2026-02-01 11:56:56,32.3,89.9
2026-02-01 11:56:57,27.7,89.9
2026-02-01 11:56:58,20.9,89.5
2026-02-01 11:56:59,49.1,89.8
2026-02-01 11:57:00,74.1,90.0
2026-02-01 11:57:01,67.8,90.2
2026-02-01 11:57:02,22.4,90.0
2026-02-01 11:57:03,20.7,90.0
2026-02-01 11:57:04,21.3,90.0
2026-02-01 11:57:05,18.4,90.0
2026-02-01 11:57:06,23.3,90.0
2026-02-01 11:57:07,21.9,90.0
2026-02-01 11:57:08,12.5,90.2
2026-02-01 11:57:09,16.0,90.2
2026-02-01 11:57:10,18.8,90.2
2026-02-01 11:57:11,23.6,89.7
2026-02-01 11:57:12,24.0,89.8
2026-02-01 11:57:13,18.6,89.8
2026-02-01 11:57:14,17.6,89.6
2026-02-01 11:57:15,19.1,89.6
2026-02-01 11:57:16,23.6,89.4
2026-02-01 11:57:17,24.4,88.3
2026-02-01 11:57:18,23.3,88.3
2026-02-01 11:57:19,18.4,88.3
2026-02-01 11:57:20,47.3,88.3
2026-02-01 11:57:21,44.1,88.9
2026-02-01 11:57:22,33.5,89.1
2026-02-01 11:57:23,41.9,88.5
2026-02-01 11:57:24,43.8,88.7
2026-02-01 11:57:25,52.3,88.3
2026-02-01 11:57:26,22.3,88.2
2026-02-01 11:57:27,20.5,88.1
2026-02-01 11:57:28,20.0,87.9
2026-02-01 11:57:29,24.8,87.9
2026-02-01 11:57:30,22.7,87.7
2026-02-01 11:57:32,23.0,87.6
2026-02-01 11:57:33,29.6,87.4
2026-02-01 11:57:34,36.3,87.8
2026-02-01 11:57:35,31.1,88.3
2026-02-01 11:57:36,36.6,88.7
2026-02-01 11:57:37,60.3,90.3
2026-02-01 11:57:38,96.0,91.4
2026-02-01 11:57:39,92.3,91.8
2026-02-01 11:57:41,87.7,91.8
2026-02-01 11:57:42,100.0,92.6
2026-02-01 11:57:43,97.1,92.5
2026-02-01 11:57:45,96.5,93.3
2026-02-01 11:57:46,97.4,94.1
2026-02-01 11:57:47,98.1,94.6
2026-02-01 11:57:48,58.0,94.9
2026-02-01 11:57:49,88.6,95.2
2026-02-01 11:57:50,92.3,95.4
2026-02-01 11:57:51,100.0,95.3
2026-02-01 11:57:52,99.7,96.1
2026-02-01 11:57:53,100.0,96.3
2026-02-01 11:57:54,100.0,96.2
2026-02-01 11:57:55,100.0,96.4
2026-02-01 11:57:56,100.0,96.2
2026-02-01 11:57:57,100.0,96.5
2026-02-01 11:57:59,100.0,96.6
2026-02-01 11:58:01,100.0,96.4
2026-02-01 11:58:02,100.0,96.3
2026-02-01 11:58:03,100.0,96.6
2026-02-01 11:58:04,100.0,96.7
2026-02-01 11:58:05,100.0,96.2
2026-02-01 11:58:06,100.0,96.1
2026-02-01 11:58:07,100.0,96.1
2026-02-01 11:58:08,100.0,96.2
2026-02-01 11:58:09,100.0,95.5
2026-02-01 11:58:10,100.0,95.4
2026-02-01 11:58:11,93.8,94.3
2026-02-01 11:58:12,96.2,94.2
2026-02-01 11:58:13,62.8,94.5
2026-02-01 11:58:14,62.8,94.4
2026-02-01 11:58:15,80.4,94.8
2026-02-01 11:58:16,63.0,94.7
2026-02-01 11:58:17,61.5,95.3
2026-02-01 11:58:18,84.9,95.8
2026-02-01 11:58:19,53.3,94.7
2026-02-01 11:58:20,22.6,94.6
2026-02-01 11:58:21,20.2,94.6
2026-02-01 11:58:22,29.2,94.9
2026-02-01 11:58:23,25.7,94.9
2026-02-01 11:58:24,59.0,95.4
2026-02-01 11:58:25,67.4,95.8
2026-02-01 11:58:26,62.9,96.0
2026-02-01 11:58:27,86.5,96.3
2026-02-01 11:58:28,83.1,95.9
2026-02-01 11:58:29,60.9,96.1
2026-02-01 11:58:30,44.6,96.9
2026-02-01 11:58:31,97.7,95.4
2026-02-01 11:58:32,90.9,96.2
2026-02-01 11:58:33,62.7,94.1
2026-02-01 11:58:34,11.2,83.0
2026-02-01 11:58:35,8.2,82.6
2026-02-01 11:58:36,4.3,82.5
2026-02-01 11:58:37,4.3,82.4
2026-02-01 11:58:38,2.7,82.3
2026-02-01 11:58:39,5.4,82.1
2026-02-01 11:58:40,10.0,82.2
2026-02-01 11:58:41,7.4,82.1
2026-02-01 11:58:42,2.7,82.2
2026-02-01 11:58:43,2.3,82.1
2026-02-01 11:58:44,1.9,82.1
2026-02-01 11:58:45,3.1,82.1
2026-02-01 11:58:46,4.7,81.9
2026-02-01 11:58:47,1.9,81.9
2026-02-01 11:58:48,3.1,81.9
2026-02-01 11:58:49,3.9,81.9
2026-02-01 11:58:50,5.7,81.8
2026-02-01 11:58:51,4.7,81.8
2026-02-01 11:58:52,5.9,81.8
2026-02-01 11:58:53,6.9,81.8
2026-02-01 11:58:54,13.8,81.0
2026-02-01 11:58:55,66.0,82.2
2026-02-01 11:58:56,38.1,82.4
2026-02-01 11:58:57,26.5,82.9
2026-02-01 11:58:58,33.2,82.6
2026-02-01 11:58:59,41.2,82.1
